name,start,end,zeros,dfs
CC1_1M,20170103,20170203,1.64559192505017000000,0.99842972563814500000
CC1_1M,20170103,20170403,1.66157981086599000000,0.99574760756568100000
CC1_1M,20170103,20170705,1.66962648901108000000,0.99151770993903100000
CC1_1M,20170103,20171004,1.68896745699645000000,0.98727179404141200000
CC1_1M,20170103,20180104,1.70991055546295000000,0.98288843138222100000
CC1_1M,20170103,20180405,1.74252637002936000000,0.97832532147491200000
CC1_1M,20170103,20180704,1.77901752997510000000,0.97361715752788900000
CC1_1M,20170103,20181003,1.81856273467099000000,0.96865939990798100000
CC1_1M,20170103,20190103,1.85984968589596000000,0.96345645787880100000
CC1_1M,20170103,20200103,2.02675516108875000000,0.94108893515286600000
CC1_1M,20170103,20210106,2.18650725185003000000,0.91625341507018100000
CC1_1M,20170103,20220105,2.31604741599506000000,0.89085053564102900000
CC1_1M,20170103,20230105,2.43927491466965000000,0.86421287873084600000
CC1_1M,20170103,20240104,2.54298200141527000000,0.83752685594678400000
CC1_1M,20170103,20250103,2.63199333230849000000,0.81089568393416800000
CC1_1M,20170103,20260105,2.71070612608882000000,0.78433802825323200000
CC1_1M,20170103,20270106,2.78326725120954000000,0.75798671758426400000
CC1_1M,20170103,20290104,2.91209828462085000000,0.70640553504830300000
CC1_1M,20170103,20320105,3.07119020169267000000,0.63259253151623300000
CC1_1M,20170103,20370105,3.20156853751601000000,0.52929997499305700000
CC1_1M,20170103,20420103,3.25092597872168000000,0.44615877616018200000
CC1_1M,20170103,20470103,3.23296900712451000000,0.38170713329474900000
CC1_1M,20170103,20570104,3.21758991046327000000,0.27856480106748700000
CC1_3M,20170103,20170403,1.81415139396297000000,0.99535980031613700000
CC1_3M,20170310,20170608,1.82517049767017000000,0.99206717112547500000
CC1_3M,20170609,20170907,1.84248224622540000000,0.98746698595130800000
CC1_3M,20170908,20171207,1.86621907385919000000,0.98274545617256900000
CC1_3M,20171208,20180308,1.89646869255319000000,0.97785699891075900000
CC1_3M,20180309,20180607,1.93151376159186000000,0.97278120645996100000
CC1_3M,20180608,20180906,1.96912280032892000000,0.96752297850916600000
CC1_3M,20180914,20181213,2.01225854198008000000,0.96164345437764700000
CC1_3M,20181214,20190314,2.05276008083736000000,0.95601039885661500000
CC1_3M,20170103,20200103,2.17481943847106000000,0.93694617170756500000
CC1_3M,20170103,20210106,2.32877219944805000000,0.91108397191868400000
CC1_3M,20170103,20220105,2.45385130964308000000,0.88478223124103000000
CC1_3M,20170103,20230104,2.57258983822087000000,0.85745096609177500000
CC1_3M,20170103,20240103,2.67206499106118000000,0.83013271549939400000
CC1_3M,20170103,20250103,2.75845086832636000000,0.80282505399076400000
CC1_3M,20170103,20260105,2.83423823321394000000,0.77576334318063600000
CC1_3M,20170103,20270106,2.90379322014166000000,0.74901043893653000000
CC1_3M,20170103,20290103,3.02983474138237000000,0.69667907797932900000
CC1_3M,20170103,20320105,3.18714072215229000000,0.62183432916974100000
CC1_3M,20170103,20370105,3.31800990679324000000,0.51729122556617800000
CC1_3M,20170103,20420103,3.36763299507400000000,0.43352158707741500000
CC1_3M,20170103,20470103,3.34983983791916000000,0.36875239710260100000
CC1_3M,20170103,20570103,3.33466949504439000000,0.26603208353501900000
CC1_6M,20170103,20170703,2.04508564539593000000,0.98974013000385000000
CC1_6M,20170103,20180103,2.09956392043622000000,0.97910627264496300000
CC1_6M,20170103,20180703,2.16068557179208000000,0.96813507442813700000
CC1_6M,20170103,20190103,2.23391534379193000000,0.95630910549445100000
CC1_6M,20170103,20200103,2.37154632026910000000,0.93147470536599800000
CC1_6M,20170103,20210104,2.51206836332157000000,0.90459559497286900000
CC1_6M,20170103,20220105,2.62610957013261000000,0.87726053602007200000
CC1_6M,20170103,20230104,2.73407058418483000000,0.84926885444443400000
CC1_6M,20170103,20240103,2.82265138826892000000,0.82152882671588700000
CC1_6M,20170103,20250103,2.90079162478092000000,0.79384271704185800000
CC1_6M,20170103,20260105,2.96820844352539000000,0.76657584613463600000
CC1_6M,20170103,20270104,3.02892446807757000000,0.73993104243674900000
CC1_6M,20170103,20290103,3.14133663109853000000,0.68754472232754800000
CC1_6M,20170103,20320105,3.27984713959732000000,0.61336886626712500000
CC1_6M,20170103,20370105,3.39884823994820000000,0.50911880315933700000
CC1_6M,20170103,20420103,3.44398518241298000000,0.42545219245410500000
CC1_6M,20170103,20470103,3.42282221254142000000,0.36089014645679300000
CC1_6M,20170103,20570103,3.40998281663824000000,0.25825893822809200000
CC1_CC1_CSA,20161230,20170103,1.50551488675306000000,0.99983564345587000000
CC1_CC1_CSA,20170103,20170112,1.50457876351138000000,0.99946627073816700000
CC1_CC1_CSA,20170103,20170119,1.50422059310942000000,0.99917919069324500000
CC1_CC1_CSA,20170103,20170207,1.50358210540480000000,0.99840072194577600000
CC1_CC1_CSA,20170103,20170307,1.50136927258155000000,0.99725812044369300000
CC1_CC1_CSA,20170103,20170405,1.49799310958869000000,0.99608244831744700000
CC1_CC1_CSA,20170103,20170505,1.49714582365483000000,0.99486425184947400000
CC1_CC1_CSA,20170103,20170607,1.49609550677097000000,0.99352805104430600000
CC1_CC1_CSA,20170103,20170705,1.49573953205287000000,0.99239447850778900000
CC1_CC1_CSA,20170103,20171005,1.51107032347633000000,0.98855899369968800000
CC1_CC1_CSA,20170103,20180105,1.52919589205509000000,0.98463505130910400000
CC1_CC1_CSA,20170103,20180704,1.61259490021777000000,0.97604563203911500000
CC1_CC1_CSA,20170103,20190104,1.68889084285853000000,0.96670066595240900000
